股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,balance_yearly,合同负债,2013-12-31 00:00:00,195904619.64
688596,正帆科技,balance_yearly,应收票据及应收账款,2013-12-31 00:00:00,125955725.14
688596,正帆科技,balance_yearly,应收账款,2013-12-31 00:00:00,96650006.22
688596,正帆科技,balance_yearly,应收票据,2013-12-31 00:00:00,29305718.92
688596,正帆科技,balance_yearly,预付账款,2013-12-31 00:00:00,27605756.22
688596,正帆科技,balance_yearly,存货,2013-12-31 00:00:00,215263583.85
688596,正帆科技,balance_yearly,其他应收款,2013-12-31 00:00:00,13862670.17
688596,正帆科技,balance_yearly,流动资产,2013-12-31 00:00:00,452076026.45
688596,正帆科技,balance_yearly,固定资产,2013-12-31 00:00:00,54463715.46
688596,正帆科技,balance_yearly,无形资产,2013-12-31 00:00:00,35127935.16
688596,正帆科技,balance_yearly,总资产,2013-12-31 00:00:00,582269995.4
688596,正帆科技,balance_yearly,短期借款,2013-12-31 00:00:00,5000000.0
688596,正帆科技,balance_yearly,应付票据及应付账款,2013-12-31 00:00:00,69073586.38
688596,正帆科技,balance_yearly,应付账款,2013-12-31 00:00:00,64717931.96
688596,正帆科技,balance_yearly,应付票据,2013-12-31 00:00:00,4355654.42
688596,正帆科技,balance_yearly,应付职工薪酬,2013-12-31 00:00:00,8685365.27
688596,正帆科技,balance_yearly,应付税费,2013-12-31 00:00:00,1915277.27
688596,正帆科技,balance_yearly,其他应付款,2013-12-31 00:00:00,8487052.62
688596,正帆科技,balance_yearly,流动负债,2013-12-31 00:00:00,289065901.18
688596,正帆科技,balance_yearly,总负债,2013-12-31 00:00:00,295046146.35
688596,正帆科技,balance_yearly,实收资本,2013-12-31 00:00:00,114352960.0
688596,正帆科技,balance_yearly,少数股东权益,2013-12-31 00:00:00,12758836.61
688596,正帆科技,balance_yearly,合同负债,2014-12-31 00:00:00,193364783.38
688596,正帆科技,balance_yearly,应收票据及应收账款,2014-12-31 00:00:00,155539769.69
688596,正帆科技,balance_yearly,应收账款,2014-12-31 00:00:00,121785336.32
688596,正帆科技,balance_yearly,应收票据,2014-12-31 00:00:00,33754433.37
688596,正帆科技,balance_yearly,预付账款,2014-12-31 00:00:00,25818606.62
688596,正帆科技,balance_yearly,存货,2014-12-31 00:00:00,204760834.98
688596,正帆科技,balance_yearly,其他应收款,2014-12-31 00:00:00,12756059.29
688596,正帆科技,balance_yearly,流动资产,2014-12-31 00:00:00,461127784.06
688596,正帆科技,balance_yearly,固定资产,2014-12-31 00:00:00,90470632.53
688596,正帆科技,balance_yearly,无形资产,2014-12-31 00:00:00,34258825.74
688596,正帆科技,balance_yearly,总资产,2014-12-31 00:00:00,622723777.16
688596,正帆科技,balance_yearly,短期借款,2014-12-31 00:00:00,54637832.08
688596,正帆科技,balance_yearly,应付票据及应付账款,2014-12-31 00:00:00,118963678.51
688596,正帆科技,balance_yearly,应付账款,2014-12-31 00:00:00,111175908.43
688596,正帆科技,balance_yearly,应付票据,2014-12-31 00:00:00,7787770.08
688596,正帆科技,balance_yearly,应付职工薪酬,2014-12-31 00:00:00,6683875.17
688596,正帆科技,balance_yearly,应付税费,2014-12-31 00:00:00,3950911.21
688596,正帆科技,balance_yearly,其他应付款,2014-12-31 00:00:00,6568726.51
688596,正帆科技,balance_yearly,流动负债,2014-12-31 00:00:00,384169806.86
688596,正帆科技,balance_yearly,总负债,2014-12-31 00:00:00,387006591.35
688596,正帆科技,balance_yearly,实收资本,2014-12-31 00:00:00,109370197.65
688596,正帆科技,balance_yearly,少数股东权益,2014-12-31 00:00:00,16501092.19
688596,正帆科技,balance_yearly,合同负债,2015-12-31 00:00:00,125284250.63
688596,正帆科技,balance_yearly,应收票据及应收账款,2015-12-31 00:00:00,210371125.27
688596,正帆科技,balance_yearly,应收账款,2015-12-31 00:00:00,190753101.67
688596,正帆科技,balance_yearly,应收票据,2015-12-31 00:00:00,19618023.6
688596,正帆科技,balance_yearly,预付账款,2015-12-31 00:00:00,15173380.32
688596,正帆科技,balance_yearly,存货,2015-12-31 00:00:00,151145684.91
688596,正帆科技,balance_yearly,其他应收款,2015-12-31 00:00:00,9094600.23
688596,正帆科技,balance_yearly,流动资产,2015-12-31 00:00:00,473507191.16
688596,正帆科技,balance_yearly,固定资产,2015-12-31 00:00:00,113066486.99
688596,正帆科技,balance_yearly,无形资产,2015-12-31 00:00:00,35896604.1
688596,正帆科技,balance_yearly,总资产,2015-12-31 00:00:00,665402467.74
688596,正帆科技,balance_yearly,短期借款,2015-12-31 00:00:00,54635250.76
688596,正帆科技,balance_yearly,应付票据及应付账款,2015-12-31 00:00:00,112061557.39
